Unnamed: 0
Land Value
"$330,000"
"$240,000"
"$275,000"
"$275,000"
"$235,000"
-
"$300,000"
"$280,000"
"$295,000"
"$295,000"
"$295,000"
"$275,000"
"$275,000"
"$470,000"
"$510,000"
"$350,000"
"$240,000"
"$225,000"
"$235,000"
"$345,000"
"$310,000"
"$400,000"
"$370,000"
"$215,000"
"$350,000"
"$510,000"
"$600,000"
"$215,000"
"$290,000"
"$225,000"
"$375,000"
"$510,000"
"$310,000"
"$295,000"
"$225,000"
"$345,000"
"$290,000"
"$280,000"
"$220,000"
"$205,000"
"$370,000"
"$230,000"
"$290,000"
"$230,000"
"$225,000"
"$290,000"
"$260,000"
"$295,000"
"$470,000"
"$310,000"
