Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
53 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,5,3,2,441,240,1920,1150,4-Aug-23,3,FALSE,"$890,000","$620,000"
7 STRAVEN ROAD ,"RICCARTON, CHRISTCHURCH",8011,4,2,1,561,190,1950,1125,5-Oct-24,7,FALSE,"$895,000","$860,000"
11B MATAI STREET EAST ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,303,205,2020,1100,1-Oct-24,6,FALSE,"$1,445,000","$580,000"
2/104 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,2,333,140,1995,1050,18-Mar-24,7,FALSE,"$660,000","$380,000"
16B ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,4,1,1,288,175,2000,1020,7-Aug-23,7,FALSE,"$780,000","$345,000"
47 KILMARNOCK STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,2,830,194,1920,1020,28-Jul-23,7,FALSE,"$1,260,000","$1,220,000"
116 CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,2,324,114,1995,1000,22-Jul-24,7,FALSE,"$680,000","$380,000"
14A ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,3,427,149,2004,1000,2-Oct-24,7,FALSE,"$820,000","$460,000"
29 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,273,167,2005,1000,19-Aug-24,7,FALSE,"$840,000","$340,000"
31 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,5,2,1,306,167,2005,1000,22-Jul-24,7,FALSE,"$860,000","$360,000"
3/32 LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8041,2,1,1,-,68,1970,1000,16-Jun-23,4,FALSE,"$440,000","$325,000"
31 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,187,144,2006,975,18-Jul-24,7,FALSE,"$710,000","$305,000"
